"Player","Team","TACKLE","ASSIST","SACK","PD","INT","FF","FR","TD","FPTS"
"Tyleik Williams","DET","1.3","0.7","0.1","0.1","0.0","0.0","0.0","0.0","3.1"
"Shemar Stewart","CIN","1.2","0.7","0.2","0.0","0.0","0.0","0.0","0.0","3.1"
"Elijah Garcia","CAR","1.4","0.7","0.1","0.0","0.0","0.0","0.0","0.0","3.1"
"Jowon Briggs","NYJ","1.3","0.7","0.1","0.0","0.0","0.0","0.0","0.0","3.1"
"Da'Shawn Hand","ATL","1.3","0.7","0.1","0.1","0.0","0.0","0.0","0.0","3.0"
"Ruke Orhorhoro","JAC","1.2","0.7","0.2","0.0","0.0","0.0","0.0","0.0","3.0"
"DJ Reader","NYG","1.3","0.8","0.1","0.1","0.0","0.0","0.0","0.0","3.0"
"Dominique Robinson","HOU","1.3","0.5","0.1","0.0","0.0","0.0","0.0","0.0","3.0"
"Lee Hunter","CAR","1.3","0.7","0.0","0.1","0.0","0.0","0.0","0.0","3.0"
"Felix Anudike-Uzomah","KC","1.1","0.5","0.1","0.0","0.0","0.1","0.0","0.0","3.0"
"Leki Fotu","NYG","1.4","0.7","0.1","0.0","0.0","0.0","0.0","0.0","3.0"
"Micheal Clemons","IND","1.2","0.7","0.1","0.0","0.0","0.1","0.0","0.0","3.0"
"Otito Ogbonnia","DAL","1.4","0.9","0.0","0.0","0.0","0.0","0.0","0.0","2.9"
"Khyiris Tonga","KC","1.4","0.7","0.1","0.1","0.0","0.0","0.0","0.0","2.9"
"T.J. Sanders","BUF","1.3","0.7","0.1","0.1","0.0","0.0","0.0","0.0","2.9"
"Mekhi Wingo","DET","1.3","0.7","0.1","0.0","0.0","0.0","0.0","0.0","2.9"
"Mike Danna","BUF","1.3","0.6","0.1","0.0","0.0","0.0","0.0","0.0","2.9"
"James Pearce Jr.","ATL","0.7","0.4","0.2","0.1","0.0","0.1","0.0","0.0","2.8"
"Vernon Broughton","NO","1.3","0.6","0.1","0.0","0.0","0.0","0.0","0.0","2.8"
"Kayden McDonald","HOU","1.3","0.7","0.0","0.0","0.0","0.0","0.0","0.0","2.8"
"Colby Wooden","IND","1.3","0.7","0.1","0.0","0.0","0.0","0.0","0.0","2.7"
"Tyree Wilson","NO","1.0","0.4","0.1","0.0","0.0","0.0","0.0","0.0","2.6"
"Eric Gregory","NE","1.2","0.6","0.1","0.0","0.0","0.0","0.0","0.0","2.6"
"Jordan Elliott","TEN","1.2","0.8","0.0","0.0","0.0","0.0","0.0","0.0","2.6"
"Jaishawn Barham","DAL","1.0","0.5","0.1","0.0","0.0","0.0","0.0","0.0","2.5"
"Tyler Onyedim","DEN","1.2","0.7","0.0","0.0","0.0","0.0","0.0","0.0","2.5"
"Zeek Biggers","MIA","1.1","0.6","0.1","0.1","0.0","0.0","0.0","0.0","2.5"
"Neville Gallimore","CHI","1.0","0.7","0.1","0.0","0.0","0.0","0.0","0.0","2.5"
"Jordan Burch","ARI","0.9","0.6","0.1","0.1","0.0","0.0","0.0","0.0","2.5"
"Kalia Davis","CLE","1.1","0.6","0.1","0.0","0.0","0.0","0.0","0.0","2.4"
"Landon Jackson","BUF","1.0","0.5","0.1","0.1","0.0","0.0","0.0","0.0","2.4"
"T.J. Slaton Jr.","CIN","1.1","0.7","0.1","0.0","0.0","0.0","0.0","0.0","2.4"
"Domonique Orange","MIN","1.1","0.7","0.0","0.0","0.0","0.0","0.0","0.0","2.3"
"Cashius Howell","CIN","0.9","0.5","0.1","0.1","0.0","0.0","0.0","0.0","2.3"
"Oluwafemi Oladejo","TEN","0.9","0.4","0.1","0.1","0.0","0.0","0.0","0.0","2.3"
"Keion White","SF","0.9","0.4","0.1","0.0","0.0","0.0","0.0","0.0","2.3"
"Desjuan Johnson","LAR","1.0","0.4","0.1","0.0","0.0","0.0","0.0","0.0","2.3"
"Payton Turner","DET","0.8","0.4","0.1","0.0","0.0","0.0","0.0","0.0","2.3"
"Shemar Turner","CHI","1.2","0.4","0.0","0.0","0.0","0.0","0.0","0.0","2.3"
"Byron Young","PHI","1.1","0.6","0.1","0.0","0.0","0.0","0.0","0.0","2.3"
"Cory Durden","NE","1.1","0.7","0.0","0.0","0.0","0.0","0.0","0.0","2.2"
"Keyron Crawford","LV","0.9","0.4","0.1","0.0","0.0","0.0","0.0","0.0","2.2"
"Matthew Butler","MIA","1.0","0.5","0.0","0.1","0.0","0.0","0.0","0.0","2.1"
"Levi Onwuzurike","ARI","0.9","0.5","0.1","0.0","0.0","0.0","0.0","0.0","2.1"
"Tonka Hemingway","LV","0.8","0.4","0.1","0.0","0.0","0.0","0.0","0.0","2.1"
"Bud Dupree","LAC","0.8","0.4","0.1","0.1","0.0","0.0","0.0","0.0","2.1"
"Skyler Gill-Howard","DET","1.0","0.5","0.1","0.0","0.0","0.0","0.0","0.0","2.1"
"Jordan Phillips","MIA","1.0","0.5","0.0","0.0","0.0","0.0","0.0","0.0","2.1"
"Tim Settle Jr.","WAS","0.9","0.5","0.1","0.1","0.0","0.0","0.0","0.0","2.1"
"Albert Regis","JAC","0.9","0.5","0.1","0.0","0.0","0.0","0.0","0.0","2.1"
"Isaiahh Loudermilk","MIN","1.0","0.5","0.0","0.0","0.0","0.0","0.0","0.0","2.0"
"L.J. Collier","ARI","0.9","0.5","0.1","0.0","0.0","0.0","0.0","0.0","2.0"
"Omarr Norman-Lott","KC","0.9","0.5","0.1","0.0","0.0","0.0","0.0","0.0","2.0"
"Mike Hall Jr.","CLE","0.9","0.4","0.1","0.0","0.0","0.0","0.0","0.0","2.0"
